name,sports_car,suv,wagon,minivan,pickup,all_wheel,rear_wheel,msrp,dealer_cost,eng_size,ncyl,horsepwr,city_mpg,hwy_mpg,weight,wheel_base,length,width
Chevrolet Aveo 4dr,False,False,False,False,False,False,False,11690,10965,1.6,4,103,28.0,34.0,2370.0,98.0,167.0,66.0
Chevrolet Aveo LS 4dr hatch,False,False,False,False,False,False,False,12585,11802,1.6,4,103,28.0,34.0,2348.0,98.0,153.0,66.0
Chevrolet Cavalier 2dr,False,False,False,False,False,False,False,14610,13697,2.2,4,140,26.0,37.0,2617.0,104.0,183.0,69.0
Chevrolet Cavalier 4dr,False,False,False,False,False,False,False,14810,13884,2.2,4,140,26.0,37.0,2676.0,104.0,183.0,68.0
Chevrolet Cavalier LS 2dr,False,False,False,False,False,False,False,16385,15357,2.2,4,140,26.0,37.0,2617.0,104.0,183.0,69.0
Dodge Neon SE 4dr,False,False,False,False,False,False,False,13670,12849,2.0,4,132,29.0,36.0,2581.0,105.0,174.0,67.0
Dodge Neon SXT 4dr,False,False,False,False,False,False,False,15040,14086,2.0,4,132,29.0,36.0,2626.0,105.0,174.0,67.0
Ford Focus ZX3 2dr hatch,False,False,False,False,False,False,False,13270,12482,2.0,4,130,26.0,33.0,2612.0,103.0,168.0,67.0
Ford Focus LX 4dr,False,False,False,False,False,False,False,13730,12906,2.0,4,110,27.0,36.0,2606.0,103.0,168.0,67.0
Ford Focus SE 4dr,False,False,False,False,False,False,False,15460,14496,2.0,4,130,26.0,33.0,2606.0,103.0,168.0,67.0
Ford Focus ZX5 5dr,False,False,False,False,False,False,False,15580,14607,2.0,4,130,26.0,33.0,2691.0,103.0,168.0,67.0
Honda Civic DX 2dr,False,False,False,False,False,False,False,13270,12175,1.7,4,115,32.0,38.0,2432.0,103.0,175.0,67.0
Honda Civic HX 2dr,False,False,False,False,False,False,False,14170,12996,1.7,4,117,36.0,44.0,2500.0,103.0,175.0,67.0
Honda Civic LX 4dr,False,False,False,False,False,False,False,15850,14531,1.7,4,115,32.0,38.0,2513.0,103.0,175.0,68.0
Hyundai Accent 2dr hatch,False,False,False,False,False,False,False,10539,10107,1.6,4,103,29.0,33.0,2255.0,96.0,167.0,66.0
Hyundai Accent GL 4dr,False,False,False,False,False,False,False,11839,11116,1.6,4,103,29.0,33.0,2290.0,96.0,167.0,66.0
Hyundai Accent GT 2dr hatch,False,False,False,False,False,False,False,11939,11209,1.6,4,103,29.0,33.0,2339.0,96.0,167.0,66.0
Hyundai Elantra GLS 4dr,False,False,False,False,False,False,False,13839,12781,2.0,4,138,26.0,34.0,2635.0,103.0,178.0,68.0
Hyundai Elantra GT 4dr,False,False,False,False,False,False,False,15389,14207,2.0,4,138,26.0,34.0,2635.0,103.0,178.0,68.0
Hyundai Elantra GT 4dr hatch,False,False,False,False,False,False,False,15389,14207,2.0,4,138,26.0,34.0,2698.0,103.0,178.0,68.0
Kia Optima LX 4dr,False,False,False,False,False,False,False,16040,14910,2.4,4,138,23.0,30.0,3281.0,106.0,186.0,72.0
Kia Rio 4dr manual,False,False,False,False,False,False,False,10280,9875,1.6,4,104,26.0,33.0,2403.0,95.0,167.0,66.0
Kia Rio 4dr auto,False,False,False,False,False,False,False,11155,10705,1.6,4,104,25.0,32.0,2458.0,95.0,167.0,66.0
Kia Spectra 4dr,False,False,False,False,False,False,False,12360,11630,1.8,4,124,24.0,32.0,2661.0,101.0,178.0,68.0
Kia Spectra GS 4dr hatch,False,False,False,False,False,False,False,13580,12830,1.8,4,124,24.0,32.0,2686.0,101.0,178.0,68.0
Kia Spectra GSX 4dr hatch,False,False,False,False,False,False,False,14630,13790,1.8,4,124,24.0,32.0,2697.0,101.0,178.0,68.0
Mazda3 i 4dr,False,False,False,False,False,False,False,15500,14525,2.0,4,148,,,2696.0,,,
Mini Cooper,False,False,False,False,False,False,False,16999,15437,1.6,4,115,28.0,37.0,2524.0,97.0,143.0,67.0
Mitsubishi Lancer ES 4dr,False,False,False,False,False,False,False,14622,13751,2.0,4,120,,,2656.0,102.0,181.0,67.0
Mitsubishi Lancer LS 4dr,False,False,False,False,False,False,False,16722,15718,2.0,4,120,,,2795.0,102.0,181.0,67.0
Nissan Sentra 1.8 4dr,False,False,False,False,False,False,False,12740,12205,1.8,4,126,28.0,35.0,2513.0,100.0,178.0,67.0
Nissan Sentra 1.8 S 4dr,False,False,False,False,False,False,False,14740,13747,1.8,4,126,28.0,35.0,2581.0,100.0,178.0,67.0
Pontiac Sunfire 1SA 2dr,False,False,False,False,False,False,False,15495,14375,2.2,4,140,24.0,33.0,2771.0,104.0,182.0,68.0
Saturn Ion1 4dr,False,False,False,False,False,False,False,10995,10319,2.2,4,140,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon2 4dr,False,False,False,False,False,False,False,14300,13393,2.2,4,140,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon3 4dr,False,False,False,False,False,False,False,15825,14811,2.2,4,140,26.0,35.0,2692.0,103.0,185.0,67.0
Saturn lon2 quad coupe 2dr,False,False,False,False,False,False,False,14850,13904,2.2,4,140,26.0,35.0,2751.0,103.0,185.0,68.0
Saturn lon3 quad coupe 2dr,False,False,False,False,False,False,False,16350,15299,2.2,4,140,26.0,35.0,2751.0,103.0,185.0,68.0
Scion xA 4dr hatch,False,False,False,False,False,False,False,12965,12340,1.5,4,108,32.0,38.0,2340.0,93.0,154.0,67.0
Suzuki Aeno S 4dr,False,False,False,False,False,False,False,12884,12719,2.3,4,155,25.0,31.0,2676.0,98.0,171.0,68.0
Suzuki Aerio LX 4dr,False,False,False,False,False,False,False,14500,14317,2.3,4,155,25.0,31.0,2676.0,98.0,171.0,68.0
Suzuki Forenza S 4dr,False,False,False,False,False,False,False,12269,12116,2.0,4,119,24.0,31.0,2701.0,102.0,177.0,68.0
Suzuki Forenza EX 4dr,False,False,False,False,False,False,False,15568,15378,2.0,4,119,22.0,30.0,2756.0,102.0,177.0,68.0
Toyota Corolla CE 4dr,False,False,False,False,False,False,False,14085,13065,1.8,4,130,32.0,40.0,2502.0,102.0,178.0,67.0
Toyota Corolla S 4dr,False,False,False,False,False,False,False,15030,13650,1.8,4,130,32.0,40.0,2524.0,102.0,178.0,67.0
Toyota Corolla LE 4dr,False,False,False,False,False,False,False,15295,13889,1.8,4,130,32.0,40.0,2524.0,102.0,178.0,67.0
Toyota Echo 2dr manual,False,False,False,False,False,False,False,10760,10144,1.5,4,108,35.0,43.0,2035.0,93.0,163.0,65.0
Toyota Echo 2dr auto,False,False,False,False,False,False,False,11560,10896,1.5,4,108,33.0,39.0,2085.0,93.0,163.0,65.0
Toyota Echo 4dr,False,False,False,False,False,False,False,11290,10642,1.5,4,108,35.0,43.0,2055.0,93.0,163.0,65.0
Buick Century Custom 4dr,False,False,False,False,False,False,False,22180,20351,3.1,6,175,20.0,30.0,3353.0,109.0,195.0,73.0
Chevrolet Impala 4dr,False,False,False,False,False,False,False,21900,20095,3.4,6,180,21.0,32.0,3465.0,111.0,200.0,73.0
Chevrolet Malibu 4dr,False,False,False,False,False,False,False,18995,17434,2.2,4,145,24.0,34.0,3174.0,106.0,188.0,70.0
Chevrolet Malibu LS 4dr,False,False,False,False,False,False,False,20370,18639,3.5,6,200,22.0,30.0,3297.0,106.0,188.0,70.0
Chevrolet Monte Carlo LS 2dr,False,False,False,False,False,False,False,21825,20026,3.4,6,180,21.0,32.0,3340.0,111.0,198.0,73.0
Chrysler PT Cruiser 4dr,False,False,False,False,False,False,False,17985,16919,2.4,4,150,22.0,29.0,3101.0,103.0,169.0,67.0
Chrysler PT Cruiser Limited 4dr,False,False,False,False,False,False,False,22000,20573,2.4,4,150,22.0,29.0,3105.0,103.0,169.0,67.0
Chrysler Sebring 4dr,False,False,False,False,False,False,False,19090,17805,2.4,4,150,22.0,30.0,3173.0,108.0,191.0,71.0
Chrysler Sebring Touring 4dr,False,False,False,False,False,False,False,21840,20284,2.7,6,200,21.0,28.0,3222.0,108.0,191.0,71.0
Dodge Intrepid SE 4dr,False,False,False,False,False,False,False,22035,20502,2.7,6,200,21.0,29.0,3469.0,113.0,204.0,75.0
Dodge Stratus SXT 4dr,False,False,False,False,False,False,False,18820,17512,2.4,4,150,21.0,28.0,3182.0,108.0,191.0,71.0
Dodge Stratus SE 4dr,False,False,False,False,False,False,False,20220,18821,2.4,4,150,21.0,28.0,3175.0,108.0,191.0,71.0
Ford Focus SVT 2dr,False,False,False,False,False,False,False,19135,17878,2.0,4,170,21.0,28.0,2750.0,103.0,168.0,67.0
Ford Taurus LX 4dr,False,False,False,False,False,False,False,20320,18881,3.0,6,155,20.0,27.0,3306.0,109.0,198.0,73.0
Ford Taurus SES Duratec 4dr,False,False,False,False,False,False,False,22735,20857,3.0,6,201,19.0,26.0,3313.0,109.0,198.0,73.0
Honda Accord LX 2dr,False,False,False,False,False,False,False,19860,17924,2.4,4,160,26.0,34.0,2994.0,105.0,188.0,71.0
Honda Accord EX 2dr,False,False,False,False,False,False,False,22260,20080,2.4,4,160,26.0,34.0,3047.0,105.0,188.0,71.0
Honda Civic EX 4dr,False,False,False,False,False,False,False,17750,16265,1.7,4,127,32.0,37.0,2601.0,103.0,175.0,68.0
Honda Civic Si 2dr hatch,False,False,False,False,False,False,False,19490,17849,2.0,4,160,26.0,30.0,2782.0,101.0,166.0,67.0
Honda Civic Hybrid 4dr manual (gas/electric),False,False,False,False,False,False,False,20140,18451,1.4,4,93,46.0,51.0,2732.0,103.0,175.0,68.0
Honda Insight 2dr (gas/electric),False,False,False,False,False,False,False,19110,17911,2.0,3,73,60.0,66.0,1850.0,95.0,155.0,67.0
Hyundai Sonata GLS 4dr,False,False,False,False,False,False,False,19339,17574,2.7,6,170,19.0,27.0,3217.0,106.0,187.0,72.0
Hyundai Sonata LX 4dr,False,False,False,False,False,False,False,20339,18380,2.7,6,170,19.0,27.0,3217.0,106.0,187.0,72.0
Kia Optima LX V6 4dr,False,False,False,False,False,False,False,18435,16850,2.7,6,170,20.0,27.0,3279.0,106.0,186.0,72.0
Mazda3 s 4dr,False,False,False,False,False,False,False,17200,15922,2.3,4,160,,,2762.0,,,
Mazda6 i 4dr,False,False,False,False,False,False,False,19270,17817,2.3,4,160,24.0,32.0,3042.0,105.0,187.0,70.0
Mercury Sable GS 4dr,False,False,False,False,False,False,False,21595,19848,3.0,6,155,20.0,27.0,3308.0,109.0,200.0,73.0
Mini Cooper S,False,False,False,False,False,False,False,19999,18137,1.6,4,163,25.0,34.0,2678.0,97.0,144.0,67.0
Mitsubishi Galant ES 2.4L 4dr,False,False,False,False,False,False,False,19312,17957,2.4,4,160,,,3351.0,108.0,191.0,72.0
Mitsubishi Lancer OZ Rally 4dr auto,False,False,False,False,False,False,False,17232,16196,2.0,4,120,,,2744.0,102.0,181.0,67.0
Nissan Altima S 4dr,False,False,False,False,False,False,False,19240,18030,2.5,4,175,21.0,26.0,3039.0,110.0,192.0,70.0
Nissan Sentra SE-R 4dr,False,False,False,False,False,False,False,17640,16444,2.5,4,165,23.0,28.0,2761.0,100.0,178.0,67.0
Oldsmobile Alero GX 2dr,False,False,False,False,False,False,False,18825,17642,2.2,4,140,24.0,32.0,2946.0,107.0,187.0,70.0
Pontiac Grand Am GT 2dr,False,False,False,False,False,False,False,22450,20595,3.4,6,175,20.0,29.0,3118.0,107.0,186.0,70.0
Pontiac Grand Prix GT1 4dr,False,False,False,False,False,False,False,22395,20545,3.8,6,200,20.0,30.0,3477.0,111.0,198.0,74.0
Pontiac Sunfire 1SC 2dr,False,False,False,False,False,False,False,17735,16369,2.2,4,140,24.0,33.0,2771.0,104.0,182.0,68.0
Saturn L300-2 4dr,False,False,False,False,False,False,False,21410,19801,3.0,6,182,20.0,28.0,3197.0,107.0,190.0,69.0
Subaru Impreza 2.5 RS 4dr,False,False,False,False,False,True,False,19945,18399,2.5,4,165,22.0,28.0,2965.0,99.0,174.0,69.0
Subaru Legacy L 4dr,False,False,False,False,False,True,False,20445,18713,2.5,4,165,21.0,28.0,3285.0,104.0,184.0,69.0
Suzuki Verona LX 4dr,False,False,False,False,False,False,False,17262,17053,2.5,6,155,20.0,27.0,3380.0,106.0,188.0,72.0
Toyota Camry LE 4dr,False,False,False,False,False,False,False,19560,17558,2.4,4,157,24.0,33.0,3086.0,107.0,189.0,71.0
Toyota Camry LE V6 4dr,False,False,False,False,False,False,False,22775,20325,3.0,6,210,21.0,29.0,3296.0,107.0,189.0,71.0
Toyota Camry Solara SE 2dr,False,False,False,False,False,False,False,19635,17722,2.4,4,157,24.0,33.0,3175.0,107.0,193.0,72.0
Toyota Camry Solara SE V6 2dr,False,False,False,False,False,False,False,21965,19819,3.3,6,225,20.0,29.0,3417.0,107.0,193.0,72.0
Toyota Prius 4dr (gas/electric),False,False,False,False,False,False,False,20510,18926,1.5,4,110,59.0,51.0,2890.0,106.0,175.0,68.0
Volkswagen Golf GLS 4dr,False,False,False,False,False,False,False,18715,17478,2.0,4,115,24.0,31.0,2897.0,99.0,165.0,68.0
Volkswagen GTI 1.8T 2dr hatch,False,False,False,False,False,False,False,19825,18109,1.8,4,180,24.0,31.0,2934.0,99.0,168.0,68.0
Volkswagen Jetta GLS TDI 4dr,False,False,False,False,False,False,False,21055,19638,1.9,4,100,38.0,46.0,3003.0,99.0,172.0,68.0
Volkswagen New Beetle GLS 1.8T 2dr,False,False,False,False,False,False,False,21055,19638,1.8,4,150,24.0,31.0,2820.0,99.0,161.0,68.0
Acura RSX Type S 2dr,False,False,False,False,False,False,False,23820,21761,2.0,4,200,24.0,31.0,2778.0,101.0,172.0,68.0
Acura TSX 4dr,False,False,False,False,False,False,False,26990,24647,2.4,4,200,22.0,29.0,3230.0,105.0,183.0,69.0
Audi A4 1.8T 4dr,False,False,False,False,False,False,False,25940,23508,1.8,4,170,22.0,31.0,3252.0,104.0,179.0,70.0
BMW 325i 4dr,False,False,False,False,False,False,True,28495,26155,2.5,6,184,20.0,29.0,3219.0,107.0,176.0,69.0
Buick LeSabre Custom 4dr,False,False,False,False,False,False,False,26470,24282,3.8,6,205,20.0,29.0,3567.0,112.0,200.0,74.0
Buick Regal LS 4dr,False,False,False,False,False,False,False,24895,22835,3.8,6,200,20.0,30.0,3461.0,109.0,196.0,73.0
Buick Regal GS 4dr,False,False,False,False,False,False,False,28345,26047,3.8,6,240,18.0,28.0,3536.0,109.0,196.0,73.0
Chevrolet Impala LS 4dr,False,False,False,False,False,False,False,25000,22931,3.8,6,200,20.0,30.0,3476.0,111.0,200.0,73.0
Chevrolet Impala SS 4dr,False,False,False,False,False,False,False,27995,25672,3.8,6,240,18.0,28.0,3606.0,111.0,200.0,73.0
Chevrolet Malibu LT 4dr,False,False,False,False,False,False,False,23495,21551,3.5,6,200,23.0,32.0,3315.0,106.0,188.0,70.0
Chevrolet Monte Carlo SS 2dr,False,False,False,False,False,False,False,24225,22222,3.8,6,200,18.0,28.0,3434.0,111.0,198.0,73.0
Chrysler 300M 4dr,False,False,False,False,False,False,False,29865,27797,3.5,6,250,18.0,27.0,3581.0,113.0,198.0,74.0
Chrysler Concorde LX 4dr,False,False,False,False,False,False,False,24130,22452,2.7,6,200,21.0,29.0,3479.0,113.0,208.0,74.0
Chrysler Concorde LXi 4dr,False,False,False,False,False,False,False,26860,24909,3.5,6,232,19.0,27.0,3548.0,113.0,208.0,74.0
Chrvsler PT Cruiser GT 4dr,False,False,False,False,False,False,False,25955,24172,2.4,4,220,21.0,27.0,3217.0,103.0,169.0,67.0
Chrysler Sebring convertible 2dr,False,False,False,False,False,False,False,25215,23451,2.4,4,150,22.0,30.0,3357.0,106.0,194.0,64.0
Dodge Intrepid ES 4dr,False,False,False,False,False,False,False,24885,23058,3.5,6,232,18.0,27.0,3487.0,113.0,204.0,75.0
Ford Crown Victoria 4dr,False,False,False,False,False,False,True,24345,22856,4.6,8,224,17.0,25.0,4057.0,115.0,212.0,78.0
Ford Crown Victoria LX 4dr,False,False,False,False,False,False,True,27370,25105,4.6,8,224,17.0,25.0,4057.0,115.0,212.0,78.0
Honda Accord LX V6 4dr,False,False,False,False,False,False,False,23760,21428,3.0,6,240,21.0,30.0,3349.0,108.0,190.0,72.0
Honda Accord EX V6 2dr,False,False,False,False,False,False,False,26960,24304,3.0,6,240,21.0,30.0,3294.0,105.0,188.0,71.0
Hyundai XG350 4dr,False,False,False,False,False,False,False,24589,22055,3.5,6,194,17.0,26.0,3651.0,108.0,192.0,72.0
Hyundai XG350 L 4dr,False,False,False,False,False,False,False,26189,23486,3.5,6,194,17.0,26.0,3651.0,108.0,192.0,72.0
Infiniti G35 4dr,False,False,False,False,False,False,True,28495,26157,3.5,6,260,18.0,26.0,3336.0,112.0,187.0,69.0
Infiniti G35 Sport Coupe 2dr,False,False,False,False,False,False,True,29795,27536,3.5,6,280,18.0,26.0,3416.0,112.0,182.0,72.0
Jaguar X-Type 2.5 4dr,False,False,False,False,False,True,False,29995,27355,2.5,6,192,18.0,26.0,3428.0,107.0,184.0,70.0
Kia Amanti 4dr,False,False,False,False,False,False,False,26000,23764,3.5,6,195,17.0,25.0,,110.0,196.0,73.0
Mercedes-Benz C230 Sport 2dr,False,False,False,False,False,False,True,26060,24249,1.8,4,189,22.0,30.0,3250.0,107.0,178.0,68.0
Mercedes-Benz C320 Sport 2dr,False,False,False,False,False,False,True,28370,26435,3.2,6,215,19.0,26.0,3430.0,107.0,178.0,68.0
Mercury Grand Marquis GS 4dr,False,False,False,False,False,False,True,24695,23217,4.6,8,224,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Grand Marquis LS Premium 4dr,False,False,False,False,False,False,True,29595,27148,4.6,8,224,17.0,25.0,4052.0,115.0,212.0,78.0
Mercury Sable LS Premium 4dr,False,False,False,False,False,False,False,23895,21918,3.0,6,201,19.0,26.0,3315.0,109.0,200.0,73.0
Mitsubishi Diamante LS 4dr,False,False,False,False,False,False,False,29282,27250,3.5,6,205,18.0,25.0,3549.0,107.0,194.0,70.0
Mitsubishi Galant GTS 4dr,False,False,False,False,False,False,False,25700,23883,3.8,6,230,18.0,26.0,3649.0,108.0,191.0,72.0
Nissan Altima SE 4dr,False,False,False,False,False,False,False,23290,21580,3.5,6,245,21.0,26.0,3197.0,110.0,192.0,70.0
Nissan Maxima SE 4dr,False,False,False,False,False,False,False,27490,25182,3.5,6,265,20.0,28.0,3473.0,111.0,194.0,72.0
Nissan Maxima SL 4dr,False,False,False,False,False,False,False,29440,26966,3.5,6,265,20.0,28.0,3476.0,111.0,194.0,72.0
Oldsmobile Alero GLS 2dr,False,False,False,False,False,False,False,23675,21485,3.4,6,170,20.0,29.0,3085.0,107.0,187.0,70.0
Pontiac Grand Prix GT2 4dr,False,False,False,False,False,False,False,24295,22284,3.8,6,200,20.0,30.0,3484.0,111.0,198.0,74.0
Subaru Legacy GT 4dr,False,False,False,False,False,True,False,25645,23336,2.5,4,165,21.0,28.0,3395.0,104.0,184.0,69.0
Subaru Outback Limited Sedan 4dr,False,False,False,False,False,True,False,27145,24687,2.5,4,165,20.0,27.0,3495.0,104.0,184.0,69.0
Subaru Outback H6 4dr,False,False,False,False,False,True,False,29345,26660,3.0,6,212,19.0,26.0,3610.0,104.0,184.0,69.0
